Frame,Spine Angle,Hip Angle Left,Hip Angle Right
0,0.7538483330708753,-1.041626676010165,-2.121096396661619
1,0.0,-2.082565279730795,-2.121096396661619
2,0.744059202888511,-2.082565279730795,-2.121096396661619
3,0.0,-2.121096396661619,-2.121096396661619
4,0.0,-2.121096396661619,-1.060911690264151
5,0.7345210342544469,-2.082565279730795,-2.121096396661619
6,0.0,-3.1798301198642793,-1.060911690264151
7,0.0,-4.236394799058849,-0.0
8,0.0,-4.236394799058849,-0.0
9,0.0,-4.236394799058849,-0.0
10,0.0,-4.236394799058849,-1.080924186660573
11,0.0,-4.159642293712694,-1.060911690264151
12,0.0,-4.159642293712694,-1.060911690264151
13,0.744059202888511,-4.159642293712694,-1.060911690264151
14,0.7345210342544469,-4.236394799058849,-2.1610794882264934
15,0.0,-4.236394799058849,-2.121096396661619
16,0.744059202888511,-4.236394799058849,-2.1610794882264934
17,0.0,-5.290081205371212,-2.2025981617658013
18,1.5275254422131705,-5.1944289077348,-3.1798301198642793
19,0.7742201649275633,-5.1944289077348,-3.2397002961021064
20,0.7742201649275633,-6.115503566285384,-3.1798301198642793
21,0.7638984609298817,-5.1944289077348,-4.316027519865585
22,1.5275254422131705,-5.290081205371212,-4.316027519865585
23,0.7638984609298817,-5.290081205371212,-5.492324557127452
24,0.7638984609298817,-5.1944289077348,-4.398705354995592
25,0.7638984609298817,-4.236394799058849,-6.581944655178027
26,1.5074357587746403,-5.290081205371212,-5.492324557127452
27,0.7538483330708753,-6.458816378718684,-6.581944655178027
28,0.744059202888511,-5.290081205371212,-6.458816378718684
29,0.744059202888511,-5.1944289077348,-7.386043151267283
30,0.7345210342544469,-4.014175695410975,-7.253194612725315
31,0.0,-3.945186229037603,-8.130102354156005
32,0.7161599454701504,-2.960936134163757,-7.001267557495352
33,0.7073193685446075,-1.9749340108819595,-6.881723630636913
34,0.6986943829831717,-0.9391909457354006,-6.76617482255312
35,0.6902771978650802,-0.9391909457354006,-7.594643368591445
36,0.6820603931730336,-0.9710219310791971,-6.6544250460065815
37,1.3803540734444093,-0.0,-6.546290783294054
38,1.3639275316029233,-0.9877603996398039,-5.6175805901268605
39,2.0700306530411847,-0.9877603996398039,-5.6175805901268605
40,1.3803540734444093,-1.9414863909143463,-5.6175805901268605
41,1.3971810272963687,-1.9091524329963898,-5.4403320310054815
42,2.0454084888871935,-2.910837826167747,-5.6175805901268605
43,2.0454084888871935,-3.945186229037603,-5.6175805901268605
44,1.3478872801985966,-4.014175695410975,-6.546290783294054
45,1.3322198538699659,-3.0664855011259387,-5.806726905531528
46,0.6740368979843718,-5.013113755035813,-6.6544250460065815
47,0.0,-5.906141113770496,-7.7218258001310005
48,0.0,-4.844000375080698,-5.806726905531528
49,0.6365935759634798,-5.806726905531528,-5.6175805901268605
50,0.6295986084095321,-5.806726905531528,-4.537772507906683
51,0.6295986084095321,-6.441600099335006,-4.467159061389333
52,0.0,-5.355825042855143,-3.468229258917201
53,0.0,-4.467159061389333,-3.468229258917201
54,0.0,-4.267893300290857,-2.642545294064586
55,0.0,-4.144623741104323,-2.5637702114650978
56,0.60950657667471,-5.042451069170885,-3.468229258917201
57,0.0,-4.144623741104323,-3.4165881917713965
58,0.603091194381107,-4.144623741104323,-4.332313983188472
59,0.5906572146464071,-3.36646066342994,-4.267893300290857
60,1.181188913326966,-4.267893300290857,-4.267893300290857
61,0.5906572146464071,-4.20535700170851,-3.468229258917201
62,0.0,-4.267893300290857,-3.521453376922158
63,0.0,-4.267893300290857,-5.355825042855143
64,0.0,-5.117314849972611,-7.0165017447229765
65,0.5787255656079755,-4.144623741104323,-7.765166018425306
66,1.169139327907133,-4.085616779974799,-6.613460482314829
67,1.181188913326966,-3.8654611698517503,-8.017093073655287
68,1.7534048600716274,-3.012787504183286,-7.907162702958463
69,1.1344216309774149,-2.1747441146101725,-8.235619324209443
70,1.6365770416166923,-2.32153058983254,-7.028396238949569
71,1.0912162252627395,-2.2906100426384346,-6.666659890901368
72,1.6211459136533315,-1.5275254422131705,-5.710593137499632
73,1.060911690264151,-1.548157698977982,-5.782392322364099
74,1.5911402711945817,-1.5275254422131705,-5.710593137499632
75,2.121096396661619,-3.052882514792463,-5.640549432156762
76,1.5622249168425166,-3.052882514792463,-6.340191745909907
77,1.5622249168425166,-2.9737310824800476,-5.640549432156762
78,1.041626676010165,-3.012787504183286,-5.782392322364099
79,1.0322446915660841,-3.012787504183286,-6.499346279654561
80,1.5343414997011156,-4.5139884580012835,-7.214262039206764
81,0.5070290609149195,-5.9315269249198455,-6.418786730238829
82,0.5025816667212812,-5.856013585428968,-6.499346279654561
83,0.49821161261388214,-5.640549432156762,-6.263490614334505
84,0.0,-6.9529574681739215,-4.653351587268408
85,0.48146580583832027,-7.829076510059612,-3.251945600363818
86,0.46962701968949266,-7.0379407631846895,-1.9525090493996338
87,0.46962701968949266,-6.04409216224114,-1.9525090493996338
88,0.46205272143111403,-5.253802751262233,-0.643745714174742
89,0.0,-4.4971516146677475,-1.3019526725787232
90,0.4511385467876194,-3.731396999160499,-1.9091524329963898
91,0.0,-3.6522227803062854,-1.9091524329963898
92,0.0,-3.077455399424417,-3.1449574646980625
93,0.4373638675203545,-3.044778444194119,-2.4895529219991284
94,0.42757250683324377,-2.4895529219991284,-1.8881880067408792
95,0.8615257345671813,-2.4628166759166974,-1.2590452071753222
96,0.8550973962666929,-3.044778444194119,-3.731396999160499
97,0.8487642715538348,-3.077455399424417,-3.6522227803062854
98,0.8615257345671813,-2.9814612199820862,-3.5763343749973706
99,1.748946044554464,-2.7524854002686805,-4.441241189432757
100,1.282527082710573,-2.121096396661619,-5.492324557127452
101,1.263672551658303,-1.0511807495435588,-5.815626529491226
102,1.660282368983128,-0.5256346064583804,-5.762632886598429
103,2.045408488887015,-0.0,-5.710593137499632
104,1.9614176677704058,1.6523046776514325,-5.710593137499632
105,2.337305859123669,1.101706115206064,-5.057248532559154
106,2.3532968661081988,1.070824454786414,-5.013113755035813
107,1.9349323095530089,-1.060911690264151,-5.370994695535647
108,1.948085006515,-1.548157698977982,-4.398705354995592
109,1.5074357587746403,-1.5622249168425166,-4.436474485657362
110,1.0809241866602362,-0.0,-4.969740728110289
111,1.0809241866602362,-1.041626676010165,-4.553767979158585
112,1.0741699983727693,-3.1221304621157002,-5.659481840162516
113,0.3558698306222651,-4.474896506246068,-6.449534703842276
114,0.35367315924656995,-4.398705354995592,-5.906141113770496
115,0.0,-3.7517290705260407,-5.6175805901268605
116,0.3472428970853889,-6.0332530062007,-4.432668468689827
117,0.33703010985761495,-6.788974574438821,-2.5637702114650978
118,0.643745714174742,-4.950272234291761,-2.202598161765636
119,0.6330767714315901,-4.911788172505941,-0.8746767711207286
120,0.9191047837144872,-4.432668468689827,-0.0
121,0.2984128199942944,-3.9603118304584406,-0.9022211615303652
122,0.0,-2.968234029871647,-1.7623910236602323
123,0.0,-3.391339419796276,-2.202598161765636
124,0.2864765102784528,-2.9038188650961567,-3.3177811683349283
125,0.0,-2.045408488887015,-3.2245226065201162
126,0.8343455755465422,-2.419509216656149,-1.988637856474105
127,0.8223709799983382,-2.419509216656149,-1.974934010881775
128,1.3574658445308694,-2.802451519866887,-3.1579447964394216
129,1.6211459136533315,-3.6012781172234845,-3.8140748342902824
130,1.8647852593387826,-3.052882514792463,-4.194182788390875
131,1.3322198538694188,-2.552898147171717,-5.818970901394631
132,1.8060252976011992,-1.7462816202855964,-6.772159966113562
133,1.7819605903267388,-0.9992436702570843,-6.188615963241613
134,2.4895529219991284,-0.6740368979843718,-6.414601807339662
135,2.231174608031422,-0.0,-6.161478103670627
136,2.221567132936101,0.32740089084329177,-5.710593137499632
137,2.613346275309346,0.33703010985761495,-5.64824737373518
138,2.3184010410312728,0.6820603931730336,-5.278646063418948
139,2.2724497327829196,-0.33311124392201574,-5.166948919667723
140,2.0213649403560074,-1.6272833223934204,-5.194428907734729
141,1.7691913060462905,-2.1905738640382655,-4.421289421430615
142,1.2970413251270634,-1.5154079000222909,-4.714754518704885
143,1.0688271118498938,-1.789910608246076,-4.957126069680668
144,1.2970413251270634,-3.1798301198642793,-5.4268124985728505
145,1.4906318352625596,-4.506606883768292,-5.399973423325063
146,1.4423946974918929,-4.184916125118494,-5.877392606643162
147,1.2275788321345285,-4.336404785659905,-5.815626529491226
148,0.784824602992177,-4.698680517299438,-5.216889031834502
149,0.9677420765105587,-5.239543685429254,-4.545335308748798
150,1.3190776155085044,-4.864514437760529,-3.489324905796376
151,1.3929359521386058,-4.724451697170948,-3.9854786130517685
152,1.7149301955266314,-4.001826580109875,-3.0250119075637523
153,1.2115126317907763,-3.433630362450615,-2.0700306530410084
154,0.34515112316461827,-3.6473856524568395,-1.877877447285382
155,0.5085290682326189,-3.8140748342902824,-1.8550852534947475
156,0.6861441978358062,-3.276715725280047,-2.479763791816932
157,0.8602323469172427,-2.9903449751653848,-1.7098140441416
158,0.6700955222247276,-2.622401460541036,-1.282527082710573
159,1.8262032879085126,-2.787480842032005,-0.41668923179260076
160,2.3718421897890996,-2.914360035514252,-0.3965042551337393
161,2.913737850435679,-2.6394261379071042,-1.5534031241684132
162,3.2269096322866737,-2.6394261379071042,-2.337305859123669
163,3.1127166203394503,-2.5755825563162147,-2.8434801138312555
164,2.7102031001746796,-3.6118850092230854,-3.5646389721157714
165,1.636577041616915,-2.2530980802667355,-3.5646389721157714
166,0.8303154862578446,-0.3603460633857586,-3.9951226186274535
167,0.8706894984341563,1.0291548043057543,-4.864514437760454
168,6.709836807756896,1.6180945327372744,-5.266571629006642
169,1.3639275316029233,1.769812115862261,-5.395264568213133
170,13.240519915187157,1.9469821253480346,-5.507362029752934
171,0.0,1.4772141914930266,-4.9893625696421875
172,7.125016348901756,1.1233027140753127,-4.800976033517646
173,4.398705354995592,1.7501598353241012,-4.162435438521648
174,1.3019526725787232,-0.6144084000403851,-4.085616779974888
175,7.125016348901756,-0.5417879129121307,-5.588716220017955
176,2.7702157972001697,-0.6570328899951948,-5.40197716927088
177,2.121096396661619,-1.4619878987805148,-4.292602180889348
178,5.856013585428968,-2.2073099857281724,-6.325668101224042
179,23.198590513648202,-3.006469742657228,-6.216857323725796
180,57.9946167919165,-2.9088691019986106,-5.675355885169129
181,18.434948822922017,-3.0250119075637523,-4.8304199582898715
182,15.255118703057764,-3.709466067742298,-5.184455752132711
183,1.735704588928346,-3.4946389272533773,-5.251401821850554
184,1.789910608246076,-3.74492717354201,-6.935713801443512
185,14.743562836470716,-5.039501934959356,-8.311373380804154
186,36.253837737444805,-5.710593137499632,-10.442452399360835
187,34.38034472384486,-6.65280907749633,-12.167812975133142
188,20.9734934213208,-6.260197690363834,-14.036243467926456
189,1.7462816202855964,-5.369498800295315,-14.491619410149584
190,1.2188752351313326,-4.251777041900525,-13.85793767576139
191,5.710593137499632,-1.1506930624211535,-12.008256626387205
192,2.654195513406445,-4.366534791552588,-11.780523776915464
193,49.39870535499553,5.960755044490956,12.4738590403434
194,6.666659890901368,8.547343290034407,8.740866414570188
195,12.994616791916512,5.519846344865687,7.594643368591495
196,8.130102354156005,5.710593137499632,6.186953867062111
197,10.840305454330565,7.332037362961403,7.490494038205944
198,2.3859440303887247,13.136584156585206,6.421274102003477
199,4.969740728110363,-16.325276548037852,4.367812594053228
200,2.6942842898560615,-17.3777653241846,3.4412592887087436
201,1.9749340108819595,-16.63701696602151,3.7623327235701844
202,3.489324905796376,-13.326197175870291,3.376891353194964
203,3.5763343749973706,-13.023944095026538,3.0283849828400937
204,11.458752345877198,-12.374598741007077,2.132053707584212
205,nan,-12.198682031001423,1.4091307178292567
206,45.0,-10.811070204309823,0.6173875210577003
207,70.01689347810002,-12.057486340089813,0.1277495753993603
208,74.05460409907714,-11.386963591244841,0.06510881233580743
209,14.620873988631647,-10.311849130612439,-0.20056783714896434
210,16.699244233993618,-10.01248808528699,-0.33584480255473936
211,24.775140568831937,-9.895696925048107,-0.47406773540249875
212,0.0,-8.883076591956431,-0.9104919742060262
213,7.125016348901756,-8.130102354156005,-1.0362447692522285
214,2.2025981617658013,-7.074712780164667,-1.796925272696111
215,2.4895529219991284,-7.747235312522321,-1.33050147881322
216,56.30993247402022,-7.368051071622214,-2.0427087867022933
217,63.43494882292201,-7.653027190407538,-1.3496508784349497
218,53.13010235415599,-8.827379647223024,-0.3913585276837133
219,23.96248897457816,-7.790408036843343,-0.15633188902789166
220,78.69006752597979,-7.689282638499832,0.2491105151526405
221,0.0,-7.305759533310819,0.9015759024557564
222,7.765166018425354,-6.903914631251109,0.2501983201970276
223,17.10272896905237,-6.185658049277213,-0.0
224,5.1944289077348,-5.276418389255431,-1.289397904060025
225,8.972626614896399,-5.19442890773487,-3.2165447300525822
226,3.6913859864512575,-5.511477416020526,-4.300548217399013
227,3.1798301198641643,-5.218017123575153,-5.7312962186268175
228,0.0,-4.958832786971702,-6.62077608231498
229,1.4320961841645452,-4.7709703910588335,-8.020190059112839
230,4.236394799058849,-4.607629061974689,-9.642057420344921
231,0.0,-4.562322141458797,-9.926245506651707
232,8.74616226255517,-3.9519784499189012,-10.652598080927023
233,45.0,-3.7313969991604012,-11.309932474020227
234,71.56505117707799,-3.7569931301241253,-12.497532723440475
235,36.86989764584401,-3.548681973904452,-13.426736891251283
236,7.125016348901756,-3.0725702240504735,-13.631463063852927
237,26.565051177077994,-3.5987681168083094,-13.617755840458111
238,26.565051177077994,-3.438530788329202,-12.699584489597378
239,29.74488129694221,-3.7538450236793097,-12.39202305821164
240,1.3639275316029233,-3.601278117223383,-11.9713716814795
241,1.0775365097584702,-4.2414437750338365,-10.762537223142479
242,2.134258762502193,-3.163883618880829,-9.745198533782455
243,2.1409013663232748,-3.1221304621158166,-9.666402483039768
244,1.0353531865448893,-3.7278834295621226,-8.220975837851482
245,1.4188004434889134,-2.14552435489707,-8.356566706497118
246,0.7139291488859062,-1.8639976560081684,-7.2648105840843265
247,0.1773857475318907,-1.2338721669999622,-6.940983428742575
248,0.3472428970853889,-0.9065031439479053,-6.1336198534704005
249,0.34829832065884936,-0.736882578211897,-4.992081166091648
250,0.5085290682326189,-0.7664530010108606,-4.262611122790069
251,0.3292824638449299,-0.9911775750106017,-4.020567103663023
252,0.0,-1.240869775130968,-3.0427591385094495
253,0.6193897032187714,-1.4906318352625596,-2.337305859123669
254,1.1842402129918401,-1.623332525090539,-2.233809260142725
255,0.8658652554731708,-1.9749340108819595,-1.5188503974352705
256,0.5743745381875838,-3.428368558854867,-1.1457628381754625
257,0.30234959197778927,-4.520957899581361,-0.23774045929297832
