Frame,Neck_Angle,Left_Knee_Angle,Right_Knee_Angle
0,3.301865674434948,-4.5139884580012835,-6.170175095029644
1,3.2397002961021064,-4.635463426902695,-6.170175095029644
2,2.2025981617658013,-4.5139884580012835,-6.170175095029644
3,3.301865674434948,-6.0090059574945345,-4.635463426902695
4,2.121096396661619,-6.0090059574945345,-6.170175095029644
5,2.082565279730795,-6.0090059574945345,-6.170175095029644
6,2.1610794882264934,-6.0090059574945345,-4.5139884580012835
7,2.121096396661619,-5.856013585428968,-6.170175095029644
8,2.121096396661619,-5.856013585428968,-4.635463426902695
9,1.041626676010165,-5.710593137499632,-6.0090059574945345
10,1.041626676010165,-7.125016348901756,-4.5139884580012835
11,1.041626676010165,-5.572197803963753,-4.5139884580012835
12,0.0,-5.572197803963753,-4.5139884580012835
13,0.0,-5.572197803963753,-2.7927023657133487
14,1.041626676010165,-5.572197803963753,-0.0
15,1.041626676010165,-5.440332031005616,2.726310993906212
16,1.041626676010165,-5.314545669944731,2.7927023657133487
17,1.041626676010165,-6.632514615138472,2.7927023657133487
18,0.0,-6.788974574438821,2.8624052261119055
19,0.0,-8.130102354156005,2.7927023657133487
20,0.0,-7.943471810590413,4.289153328819095
21,0.0,-8.130102354156005,2.7927023657133487
22,0.0,-8.130102354156005,2.8624052261119055
23,0.0,-8.130102354156005,2.7927023657133487
24,1.0050860052541417,-8.130102354156005,2.8624052261119055
25,0.0,-6.788974574438821,2.8624052261119055
26,0.9877603996398039,-8.130102354156005,1.4320961841645452
27,0.0,-8.130102354156005,1.3971810272963687
28,0.9710219310791971,-8.130102354156005,1.4320961841645452
29,0.0,-6.632514615138472,1.4320961841645452
30,0.0,-6.788974574438821,-0.0
31,0.9877603996398039,-8.130102354156005,-1.3971810272963687
32,1.0050860052541417,-7.943471810590413,-1.3971810272963687
33,0.9877603996398039,-8.130102354156005,-1.3971810272963687
34,0.9877603996398039,-8.325650330426805,-1.4320961841645452
35,0.9710219310791971,-8.325650330426805,-2.935673446421099
36,0.0,-6.788974574438821,-2.7927023657133487
37,0.0,-6.788974574438821,-2.7927023657133487
38,0.0,-8.130102354156005,-4.184916125118406
39,0.0,-6.9529574681739215,-4.289153328819095
40,0.0,-6.788974574438821,-4.184916125118406
41,0.9710219310791971,-5.572197803963753,-4.184916125118406
42,0.9548412538723549,-6.9529574681739215,-5.710593137499632
43,0.9710219310791971,-5.572197803963753,-4.184916125118406
44,1.9414863909143463,-7.125016348901756,-4.289153328819095
45,0.9548412538723549,-6.9529574681739215,-4.289153328819095
46,0.9548412538723549,-7.125016348901756,-4.289153328819095
47,0.9548412538723549,-6.9529574681739215,-5.572197803963753
48,0.9548412538723549,-6.788974574438821,-5.572197803963753
49,0.9548412538723549,-5.440332031005616,-5.572197803963753
50,0.0,-5.440332031005616,-5.440332031005616
51,0.0,-5.440332031005616,-5.440332031005616
52,0.0,-5.440332031005616,-6.9529574681739215
53,0.9391909457354006,-6.9529574681739215,-8.130102354156005
54,0.9548412538723549,-5.440332031005616,-6.788974574438821
55,0.9391909457354006,-6.788974574438821,-6.632514615138472
56,1.877877447285382,-5.440332031005616,-6.788974574438821
57,1.8476102659947131,-5.440332031005616,-6.788974574438821
58,2.8155566842112205,-4.085616779974888,-6.788974574438821
59,2.8155566842112205,-4.085616779974888,-8.130102354156005
60,2.8155566842112205,-2.663000766067174,-7.943471810590413
61,2.8624052261117785,-2.544804379813189,-7.594643368591445
62,2.8155566842112205,-1.2453642667683205,-7.594643368591445
63,2.8155566842112205,-0.0,-7.431407971172488
64,2.8155566842112205,-0.0,-7.431407971172488
65,2.8155566842112205,-0.0,-7.431407971172488
66,3.7517290705260407,-0.0,-6.203447901691888
67,3.7517290705260407,-0.0,-6.0724564072076905
68,3.7517290705260407,1.2188752351316314,-7.275004957889281
69,4.685899839502699,-0.0,-6.203447901691888
70,4.685899839502699,1.2453642667683205,-6.203447901691888
71,5.6175805901268605,-0.0,-7.431407971172488
72,5.4403320310054815,1.2188752351316314,-6.203447901691888
73,5.527540151656193,1.2188752351316314,-7.275004957889281
74,5.4403320310054815,-0.0,-6.203447901691888
75,5.4403320310054815,1.2453642667683205,-6.203447901691888
76,5.4403320310054815,1.2188752351316314,-6.203447901691888
77,4.537772507906683,-0.0,-7.431407971172488
78,5.355825042855143,-0.0,-7.275004957889281
79,4.467159061389333,-1.2188752351316314,-7.275004957889281
80,4.467159061389333,-2.4366482468102912,-6.0724564072076905
81,4.398705354995508,-2.4366482468102912,-7.275004957889281
82,3.468229258917201,-3.731396999160499,-7.431407971172488
83,3.521453376922158,-5.1944289077348,-7.765166018425354
84,3.468229258917201,-6.340191745909907,-8.841814560191668
85,2.602562202499803,-7.594643368591445,-7.431407971172488
86,2.602562202499803,-9.039482803355098,-7.594643368591445
87,1.735704588928346,-10.080597987542383,-7.431407971172488
88,1.735704588928346,-11.309932474020194,-7.431407971172488
89,0.8680514497457887,-12.264773727892429,-7.431407971172488
90,0.8680514497457887,-12.52880770915155,-7.594643368591445
91,1.735704588928346,-13.736268305622554,-8.652541791114745
92,0.8680514497457887,-14.931417178137552,-8.652541791114745
93,1.735704588928346,-14.931417178137552,-7.431407971172488
94,1.735704588928346,-14.931417178137552,-8.841814560191668
95,1.735704588928346,-14.931417178137552,-8.841814560191668
96,1.735704588928346,-14.620873988631647,-8.841814560191668
97,1.735704588928346,-14.620873988631647,-10.080597987542383
98,1.7623910236602323,-14.036243467926482,-10.840305454330565
99,1.7623910236602323,-13.172553423326898,-11.070202577939378
100,1.735704588928346,-11.768288932020626,-10.840305454330565
101,0.8550973962666929,-12.011478386365463,-10.080597987542383
102,1.7098140441416,-10.61965527615514,-8.47114463301479
103,0.0,-10.61965527615514,-3.6522227803062854
104,0.842524260740113,-9.65989307844234,-2.3859440303887247
105,0.0,-9.272601777200324,1.169139327907133
106,0.0,-9.090276920822312,1.123302714075637
107,0.0,-8.914926957147863,3.433630362450615
108,0.8303154862578446,-9.090276920822312,3.433630362450615
109,0.0,-9.090276920822312,3.503531644784471
110,0.842524260740113,-9.090276920822312,2.337305859123825
111,0.8303154862578446,-8.914926957147863,2.337305859123825
112,0.842524260740113,-7.969610394321355,2.337305859123825
113,0.818455461688598,-9.090276920822312,1.169139327907133
114,0.818455461688598,-9.090276920822312,1.1934894239817433
115,0.0,-7.969610394321355,-0.0
116,0.0,-7.969610394321355,-0.0
117,0.0,-7.969610394321355,-0.0
118,0.8069294551026208,-7.969610394321355,-1.1934894239817433
119,0.7957235527392753,-8.130102354156005,-2.3859440303887247
120,0.0,-8.130102354156005,-2.3859440303887247
121,0.0,-8.130102354156005,-4.763641690726144
122,0.0,-8.130102354156005,-4.763641690726144
123,0.0,-8.130102354156005,-5.826342029555814
124,0.7742201649275633,-8.130102354156005,-5.826342029555814
125,0.7742201649275633,-8.130102354156005,-5.826342029555814
126,0.7638984609298817,-8.130102354156005,-6.98105740682978
127,1.548157698977982,-8.130102354156005,-8.297144969836856
128,1.5275254422131705,-8.130102354156005,-6.98105740682978
129,1.5275254422131705,-7.815293546766871,-7.969610394321355
