Frame,Neck_Angle,Left_Knee_Angle,Right_Knee_Angle
1,0.5070290609149195,1.340007780899723,1.6846843178962798
2,0.5025816667212812,1.6946470685371824,1.3558599761066843
3,0.5025816667212812,1.6946470685371824,1.3639275316029233
4,0.49821161261388214,1.7047283190074372,1.3639275316029233
5,0.49821161261388214,2.0454084888871935,1.372091649460634
6,0.4939168986187845,2.4002144608566436,0.6861441978358062
7,0.49605496039493946,2.726310993906212,0.33902432445135605
8,0.24590312327102046,2.7426113574816595,0.6902771978650802
9,0.0,3.084812330497608,0.3430843995242359
10,0.24381035610411247,3.8140748342902824,0.3430843995242359
11,0.24277727376642355,4.134671373736451,0.0
12,0.24073715272080848,3.489324905796376,0.3472428970853889
13,0.0,4.820766078092687,1.372091649460634
14,0.4855458300074139,4.184916125118406,1.735704588928346
15,0.24590312327102046,4.134671373736451,1.735704588928346
16,0.49605496039493946,4.504906863607079,2.489552921999274
17,0.7538483330703917,4.477879573849683,2.505092867241308
18,0.7605187771309286,5.194428907734729,2.5367617381599366
19,1.2787113070498546,4.763641690726144,2.505092867241308
20,1.5343414997011156,5.163306814373598,3.2194948968529022
21,1.023030188667591,5.778119069126676,2.8624052261119055
22,1.2902273520605245,6.079588957838452,3.554178235532082
23,1.2787113070498546,5.778119069126676,3.160361626045665
24,1.5275254422126934,5.847255441273248,3.5763343749973706
25,1.2787113070498546,5.4727116712504795,3.9328962722304572
26,1.26181753888611,5.812482383112714,5.095699919558675
27,1.5275254422126934,5.918060352107674,5.818970901394631
28,1.2508008147654068,5.5386375327905775,6.814352889409731
29,1.0006978778586713,5.163306814373598,6.995192297258025
30,0.24696303742436793,4.477879573849683,6.6486451832689735
31,0.24590312327102046,4.037710620977025,6.869992308214316
32,0.24277727376642355,2.6942842898560615,7.594643368591445
33,0.7161599454701504,1.645977497564158,7.460566126168332
34,0.94695144677326,0.9821171632241906,7.572948640543462
35,0.9240453527723868,0.0,7.445324847146874
36,1.1643880401240507,0.0,7.321908286973652
37,0.9130028668152842,-0.9601745666664159,6.930133496663178
38,1.8328395059420024,-0.6330767714315901,6.6544250460065815
39,2.0700306530410084,0.0,6.855118980100518
40,2.0617576907585566,0.0,5.959839110713009
41,2.0617576907585566,0.6330767714315901,5.5572322095508015
42,2.2724497327829196,0.9443504035796875,5.5572322095508015
43,1.811120792190866,1.9525090493996338,5.64824737373518
44,2.2457425658950485,2.2776089583340777,5.365630926639889
45,1.5601996869284585,1.9525090493996338,5.742283277804168
46,1.1017061152063954,2.602562202499803,5.7743259026633105
47,0.8848065608345996,3.8785245028477306,6.766174822553012
48,0.0,4.374762280955526,6.581944655178027
49,0.2162094624598187,3.3134253997927186,6.546290783294054
50,0.4259830766425105,3.6329507394881446,5.222201944586796
51,0.0,4.236394799058849,4.73907231851297
52,0.0,4.214178522734008,4.332313983188388
53,0.0,4.310625824820575,3.682274062305209
54,0.20759249564506094,3.9843160023722897,3.148096099562825
55,0.0,3.6462712087569096,3.433630362450615
56,0.0,4.12476660614237,2.5895018472409266
57,0.20536033749691573,4.085616779974977,1.9945693012419168
58,0.20245774221916688,3.742988295687096,2.576571830268917
59,0.20174486874717484,3.2550213883957704,3.433630362450615
60,0.19894287936105964,3.796051626481777,3.383005791330563
61,0.3951370425070913,3.5423611921935927,3.0714621170703835
62,0.1962176558935059,3.869184576365423,2.820172472448466
63,0.0,4.144623741104323,2.551095089000939
64,0.5787255656079755,4.225998177958483,4.666858371439036
65,0.38452965958394913,4.20535700170851,6.560196400571267
66,0.0,3.3338506615366486,7.891702428235647
67,0.7716136787358204,2.6754266560290865,7.3264066601695585
68,0.9710219310791971,1.8224326876328933,7.488899201640067
69,1.149593794274467,2.0095538130212285,7.907162702958463
70,1.3366589783290301,0.7376731374320377,7.879278154965088
