Frame,Neck Angle,Left Knee Angle,Right Knee Angle
0,1.070824454786414,359.32596310201563,4.763641690726144
1,1.070824454786414,358.61964592655556,4.763641690726144
2,1.080924186660573,359.3097228021349,4.763641690726144
3,1.6211459136533315,358.6521127198014,5.440332031005616
4,1.6365770416166923,358.60281897270363,4.7078522443722095
5,2.1816414035513843,358.60281897270363,5.314545669944731
6,2.70062933739522,357.9047474353761,5.376705428050769
7,2.726310993906212,357.9545915111128,5.314545669944731
8,2.7524854002686805,358.61964592655556,5.314545669944731
9,3.2397002961021064,357.9047474353761,5.376705428050769
10,2.726310993906212,357.9545915111128,5.314545669944731
11,2.7524854002686805,357.92996934695884,5.376705428050769
12,3.270487923183572,357.92996934695884,5.376705428050769
13,3.270487923183572,357.9047474353761,5.314545669944731
14,2.70062933739522,357.17287542183885,5.253802751262233
15,2.70062933739522,357.17287542183885,5.376705428050769
16,2.70062933739522,357.9545915111128,4.653351587268408
17,2.626405638290647,356.63353933657015,3.945186229037511
18,2.6025622024999433,356.00908690157013,3.289242678491869
19,2.0638197284571205,355.3466484127316,2.602562202499803
20,2.0638197284571205,354.6854543300553,1.2730300200569502
21,2.0454084888871935,354.2256740973367,1.2590452071753222
22,1.0050860052541417,354.28940686250036,0.0
23,1.4688007143859483,354.9759247414604,359.39049342332527
24,0.9877603996398039,355.03025927188963,359.3969088056189
25,0.9710219310791971,354.35175262626484,358.7939512207798
26,0.0,354.4127560357957,0.0
27,0.0,354.4724598483439,0.0
28,359.5144541699926,355.13548556223947,0.0
29,359.0371363743638,354.5309050298881,0.60950657667471
30,359.05304855322674,355.08343399399007,0.60950657667471
31,359.0608090542646,355.6955310394919,1.2060487792202472
32,359.0684434019227,355.785821477266,0.603091194381107
33,359.0759546472276,355.785821477266,1.8087393224922639
34,359.541643542,356.3861192479964,1.789910608246076
35,359.0684434019227,357.04922089099364,3.503531644784471
36,359.5488614532124,357.5889702533887,2.3137224978242195
37,359.104826289789,357.6386253418243,2.8341110163064394
38,359.5592719272398,357.7320454640942,2.8063702517883358
39,358.6881122174961,358.89829388479393,3.301865674434948
40,359.1384742654328,359.4594898128697,3.2397002961021064
41,359.1384742654328,358.9190758133394,3.7084281571305997
42,359.1384742654328,358.423449944816,3.674499520829679
43,359.5755945806379,358.3788540863467,4.197668357160975
44,0.0,357.87890360333836,4.677417858881746
45,0.0,357.87890360333836,5.102165252358147
46,0.0,357.3493103165783,5.710593137499632
47,0.0,357.37359436170937,5.710593137499632
48,0.4092486080352296,357.39743779750006,6.170175095029585
49,0.4034847350580431,357.39743779750006,5.147884824136331
50,0.0,357.44384992142164,5.147884824136331
51,0.3924307093413489,357.46644111160543,4.594253331266444
52,0.3951370425070913,357.53188208617155,4.553767979158585
53,0.38976119531891146,356.60507645788175,4.5139884580012835
54,0.7742201649275633,357.1375947738882,3.4533162505310426
55,0.7489217828238174,356.68905848538867,3.366460663429831
56,0.744059202888511,355.81508387488157,1.3971810272963687
57,1.101706115206064,356.3086140135487,0.4511385467876194
58,1.4594493549921708,355.9464457681686,359.1185960034179
59,1.0946905918529404,355.08821182749404,358.698047327421
60,1.0809241866602362,355.16341655426464,358.72696997994336
61,0.7206636225178015,355.16341655426464,358.7363274483417
62,0.6944602875504033,354.7261040426482,358.70783311375027
63,0.3493601795034558,354.84441568259376,359.1512357284462
64,0.3472428970853889,354.84441568259376,0.42757250683324377
65,0.0,355.76360520094113,0.8363753254223716
66,0.0,355.76360520094113,1.6723943610892977
67,0.33311124392201574,356.1859251657098,1.254451622681721
68,0.0,356.24144431452817,1.2188752351313326
69,359.67071753615505,356.68221883166507,1.6022613462709736
70,359.35625428582523,357.1375947738881,1.974934010881775
71,359.3634064240365,357.2169792461434,1.548157698977982
72,359.04515874612764,358.0113621435259,1.5074357587746403
73,359.0556495964203,358.451842301022,1.8840502310916725
74,358.1523897340053,359.6180337952713,2.935673446421099
75,358.4845920999777,359.2461516669291,4.033411072770175
76,358.1912606775077,359.25594079711146,4.343239951689415
77,358.228530259966,359.25594079711146,4.316027519865585
78,358.82486676276056,358.9122361596159,4.587978124072547
79,359.4153694792951,358.23217294414405,4.532261708701464
80,359.1491351352694,358.2100893917539,4.909062138655491
81,358.859935966214,357.91743472026906,5.132554439872979
82,359.16968451374214,358.2952716809926,5.102165252358218
83,359.19307054489735,358.31531568210374,4.792034046931953
84,359.20427644726027,358.33489394189615,4.879273783006684
85,359.4791436254979,358.02506598911805,4.477879573849683
86,359.47436539354163,356.78451600825184,3.366460663429831
87,359.74191264866306,356.80244222614925,3.3274042417265064
88,359.74191264866306,356.8721938787139,1.9305874411667574
89,0.0,356.63353933657015,0.0
90,0.5025816667212812,356.1265102756554,357.9545915111128
91,0.5047955685563511,355.3567274168811,357.2208331359278
92,0.7605187771309286,355.4260787400991,356.5236872507989
93,0.25019832019848426,354.90788487550105,356.790513682208
94,0.0,354.65291839970064,356.9727548177199
95,0.0,353.8746280598003,357.2208331359278
96,359.52054860120285,353.8746280598003,357.7652011412611
97,359.52254622269146,353.74966042221945,358.10884529831463
98,359.29557918861957,353.80816571515794,358.9291755452136
99,359.08334574361515,354.36931724236473,0.5329686226541537
100,358.63064055909285,354.5852979290444,1.041626676010165
101,358.8766972859247,354.28940686250036,1.5275254422126934
102,358.6414614619398,354.92629526993704,2.2906100426385936
103,358.6573759734622,354.92629526993704,2.3008250148093525
104,358.4518423010222,356.09950625761815,2.280485324681796
105,358.45779387257124,356.6182726757236,3.012787504183286
106,358.469560817985,357.9545915111128,2.9996553064958738
107,358.70783311375027,358.9860212772147,3.5291902993670483
108,358.92717072420857,358.9904872173835,3.764034864905643
109,359.1480809350946,358.4991439127068,3.483271468997647
110,359.36340642403707,357.7591345007864,3.731396999160499
111,359.35865612105766,357.27368900609366,3.4533162505310426
112,359.37269901277404,357.797401838234,2.910837826167747
113,359.37040139159046,358.286534682634,2.6573906829055205
114,359.587807258597,358.99930212214133,3.6834863891604877
115,359.5802582086649,358.5374467809024,3.1134387480572316
116,0.0,357.5838897143187,3.1663265190035896
117,359.79315692922376,357.8252558853898,2.910837826167747
118,359.7953730860343,357.81604977232377,2.935673446421223
119,359.7939009626167,357.56335175319003,2.3959154503216675
120,359.38172422048353,357.34260931709446,2.6462410806502406
121,359.37949235216587,357.5838897143187,2.6686345693441265
122,359.59508957121466,357.07679706802185,2.4263358316023638
123,0.20245774221916688,357.07679706802185,2.1747441146101725
